"","YEAR","NUMB_VEHC","CITY","AGE_DRVR_YNGST","AGE_DRVR_OLDEST","SPEED_LIMIT"
"137",2013,2,"Boston","25-34","55-64",55
"138",2013,2,"Boston","35-44","45-54",NA
"139",2013,1,"Boston","45-54","45-54",35
"140",2013,1,"Boston","35-44","35-44",35
"141",2013,2,"Boston","25-34","45-54",30
"142",2013,2,"Boston","35-44","35-44",55
"143",2013,3,"Boston","25-34","35-44",55
"144",2013,2,"Boston","21-24","35-44",40
"145",2013,2,"Boston","21-24","35-44",55
"146",2013,1,"Boston",">84",">84",25
"147",2013,3,"Boston","35-44","45-54",30
"148",2013,2,"Boston","25-34","35-44",35
"149",2013,2,"Boston","21-24","25-34",30
"150",2013,1,"Boston","35-44","35-44",15
"151",2013,2,"Boston","45-54","45-54",30
"152",2013,2,"Boston","25-34","25-34",45
"153",2013,2,"Boston","18-20","25-34",30
"154",2013,1,"Boston","18-20","18-20",30
"155",2013,3,"Boston","35-44","55-64",30
"156",2013,2,"Boston","35-44","55-64",30
"157",2013,2,"Boston","18-20","55-64",30
"158",2013,2,"Boston","21-24","55-64",30
"159",2013,2,"Boston","45-54","45-54",35
"160",2013,2,"Boston","35-44","45-54",35
"161",2013,3,"Boston","21-24","75-84",30
"162",2013,1,"Boston","25-34","25-34",30
"163",2013,2,"Boston","35-44","55-64",55
"164",2013,2,"Boston","18-20","21-24",55
"165",2013,6,"Boston","21-24","55-64",55
"166",2013,2,"Boston","25-34","45-54",55
"167",2013,3,"Boston","25-34","45-54",55
"168",2013,3,"Boston","25-34","55-64",30
"169",2013,2,"Boston","21-24","65-74",55
"170",2013,2,"Boston","18-20","55-64",45
"171",2013,3,"Boston","25-34","35-44",45
"172",2013,2,"Boston","45-54","45-54",45
"173",2013,2,"Boston","25-34","35-44",45
"174",2013,1,"Boston","35-44","35-44",NA
"175",2013,2,"Boston","21-24","45-54",25
"176",2013,2,"Boston","18-20","35-44",55
"177",2013,2,"Boston","18-20","55-64",30
"178",2013,2,"Boston","21-24","55-64",35
"179",2013,2,"Boston","55-64","65-74",30
"180",2013,1,"Boston",NA,NA,30
"181",2013,2,"Boston","35-44","65-74",NA
"182",2013,2,"Boston","25-34","25-34",NA
"183",2013,2,"Boston","45-54","55-64",20
"184",2013,2,"Boston","35-44","55-64",15
"185",2013,2,"Boston","25-34","45-54",65
"186",2013,1,"Boston","45-54","45-54",65
"187",2013,1,"Boston","21-24","21-24",45
"188",2013,8,"Boston","21-24","55-64",45
"189",2013,3,"Boston","25-34","55-64",45
"190",2013,2,"Boston","25-34","25-34",35
"191",2013,1,"Boston","18-20","18-20",25
"192",2013,1,"Boston","25-34","25-34",45
"193",2013,1,"Boston","45-54","45-54",45
"194",2013,2,"Boston","18-20","21-24",25
"195",2013,1,"Boston","35-44","35-44",35
"196",2013,2,"Boston","35-44","55-64",55
"197",2013,3,"Boston","21-24","55-64",55
"198",2013,2,"Boston","35-44","35-44",45
"199",2013,1,"Boston","21-24","21-24",45
"200",2013,1,"Boston","35-44","35-44",25
"201",2013,1,"Boston","35-44","35-44",45
"202",2013,2,"Boston",NA,NA,30
"203",2013,1,"Boston","55-64","55-64",40
"204",2013,2,"Boston","18-20","25-34",40
"205",2013,1,"Boston","21-24","21-24",35
"206",2013,2,"Boston","25-34","25-34",40
"207",2013,3,"Boston","18-20","45-54",55
"208",2013,1,"Boston","25-34","25-34",40
"209",2013,2,"Boston","35-44","35-44",55
"210",2013,2,"Boston","18-20","35-44",30
"211",2013,1,"Boston","25-34","25-34",30
"212",2013,2,"Boston","21-24","35-44",35
"213",2013,3,"Boston","25-34","45-54",55
"214",2013,2,"Boston","25-34","45-54",25
"215",2013,1,"Boston","35-44","35-44",NA
"216",2013,2,"Boston","25-34","45-54",NA
"217",2013,2,"Boston","35-44","65-74",25
"218",2013,1,"Boston","65-74","65-74",40
"219",2013,2,"Boston","55-64","65-74",NA
"220",2013,2,"Boston","21-24","55-64",30
"221",2013,2,"Boston","21-24","21-24",55
"222",2013,1,"Boston","25-34","25-34",55
"223",2013,2,"Boston","21-24","25-34",35
"224",2013,2,"Boston","45-54","55-64",30
"225",2013,3,"Boston","21-24","45-54",55
"226",2013,2,"Boston","21-24","45-54",30
"227",2013,2,"Boston","25-34","45-54",NA
"228",2013,2,"Boston","25-34","65-74",45
