title,gross,total_gross,distributor,release_date_JP,release_year_JP,title_short,re_released,id,genres,original_language,overview,popularity,production_companies,release_date_World,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,_merge,date_difference,region,anime
Æon Flux,5324923,5324923,Gaga,2006-03-11,2006,æonflux,False,8202.0,Science Fiction-Action-Thriller,en,400 years into the future disease has wiped out the majority of the world's population except one walled city Bregna ruled by a congress of scientists. When Æon Flux the top operative in the underground 'Monican' rebellion is sent on a mission to kill a government leader she uncovers a world of secrets.,14.86,Paramount-Lakeshore Entertainment-MTV Films-Colossal Pictures-Valhalla Motion Pictures-MTV Productions,2005-11-30,62000000.0,53321673.0,93.0,Released,The Perfect World Meets The Perfect Assassin,5.6,1923.0,Charlize Theron-Marton Csokas-Jonny Lee Miller-Sophie Okonedo-Frances McDormand-Pete Postlethwaite-Amelia Warner-Caroline Chikezie-Paterson Joseph-Nikolai Kinski-Yangzom Brauen-Aoibheann O'Hara-Thomas Huber-Maverick Quek-Ralph Herforth-Megan Gay-Rainer Will-Ronald Marx-Axel Schreiber-Shaun Lawton-Betty Okino-Anatole Taubman-Lavinia Wilson-Khira Lilli Pobanz-William Morts-Phil Hay-Nils Dommning-Bojan Heyn-Marianne Sonneck-Joost Siedhoff-Narges Rashidi-Robin Gooch-Martha Fessehatzion-Milton Welsh-Mehmet Yilmaz-Natacza Boon-Lilja Loeffler-Michael Pink-Bruno Bruni Jr.,both,101 days,Foreign,0
xXx: Return of Xander Cage,4317074,4596170,Paramount Pictures International,2017-02-24,2017,xxx:returnofxandercage,False,47971.0,Action-Adventure-Crime,en,Extreme athlete turned government operative Xander Cage comes out of self-imposed exile thought to be long dead and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.,80.549,Paramount-Revolution Studios-One Race-Shanghai Film Group-Huahua Media-Rox Productions-Maple Cage Productions-Roth-Kirschenbaum Films,2017-01-13,85000000.0,346147658.0,107.0,Released,"There are no more patriots, just rebels and tyrants.",6.131,8293.0,Vin Diesel-Donnie Yen-Deepika Padukone-Kris Wu-Ruby Rose-Tony Jaa-Nina Dobrev-Rory McCann-Toni Collette-Samuel L. Jackson-Ice Cube-Hermione Corfield-Michael Bisping-Shawn Roberts-Tony Gonzalez-Ariadna Gutiérrez-Andrey Ivchenko-Nicky Jam-Neymar Jr-Al Sapienza-Helena-Alexis Seymour-Megan Soo-Kristen Kurnik-Bailey Rose King-Pilar Cruz-Charles Carroll-Héctor Aníbal-Curtis Fletcher-Terry Chen-Jenny Itwaru-Julie Abcede-Josh Pagcaliwangan-Nyjah Huston-Roberta Mancino-Nina Buitrago-Dani Lightningbolt-Courtney Friel-Jelena Savić,both,42 days,Foreign,0
xXx,13238396,13238396,-,2002-10-26,2002,xxx,False,7451.0,Action-Adventure-Thriller,en,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world led by the nihilistic Yorgi.",26.515,Columbia Pictures-Sony Pictures-Original Film-Revolution Studios,2002-08-09,70000000.0,277448382.0,124.0,Released,A New Breed Of Secret Agent.,5.9,3717.0,Vin Diesel-Asia Argento-Samuel L. Jackson-Leila Arcieri-Marton Csokas-Eve Jeffers Cooper-Jan Filipenský-Michael Roof-Danny Trejo-Richy Müller-Werner Daehn-Tom Everett-Thomas Ian Griffith-Joe Bucaro III-Chris Gann-Martin Hub-Petr Jákl-William Hope-Ted Maynard-David Asman-Till Lindemann-Richard Kruspe-Christian Lorenz-Paul Landers-Oliver Riedel-Christoph Schneider-Tony Hawk-Mat Hoffman-Mike Vallely-Jason Ellis-Alena Cihalikova-Martina Smuková,both,78 days,Foreign,0
s.CRY.ed,141055,141055,The Klockworx,2011-11-19,2011,s.cry.ed,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
"Zyuden Sentai Kyoryuger vs. Go-Busters: Dinosaur Great Battle! Farewell, Eternal Friends",3856712,3856712,Toei Company,2014-01-18,2014,"zyudensentaikyoryugervs.go-busters:dinosaurgreatbattle!farewell,eternalfriends",False,,"Action, Adventure, Family",ja,,,,,,,,,,,,,left_only,,Japan,0
Zootopia,70127286,70127286,Walt Disney Pictures,2016-04-23,2016,zootopia,False,269149.0,Animation-Adventure-Family-Comedy,en,Determined to prove herself Officer Judy Hopps the first bunny on Zootopia's police force jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.,111.664,Walt Disney Pictures-Walt Disney Animation Studios,2016-02-11,150000000.0,1023784195.0,109.0,Released,Welcome to the urban jungle.,7.746,14669.0,Jason Bateman-Ginnifer Goodwin-Idris Elba-Jenny Slate-Nate Torrence-Bonnie Hunt-Don Lake-Tommy Chong-J.K. Simmons-Octavia Spencer-Alan Tudyk-Shakira-Raymond S. Persi-Della Saba-Maurice LaMarche-Phil Johnston-Fuschia!-John DiMaggio-Katie Lowes-Gita Reddy-Jesse Corti-Tom 'Tiny' Lister Jr.-Josh Dallas-Leah Latham-Rich Moore-Kath Soucie-Peter Mansbridge-Byron Howard-Jared Bush-Mark Rhino Smith-Josie Trinidad-John Lavelle-Kristen Bell-Evelyn Wilson Bresee-Hewitt Bush-Jill Cordes-Madeleine Curry-Terri Douglas-Melissa Goodwin Shepherd-Zach King-Dave Kohut-Jeremy Milton-Pace Paulsen-Fabienne Rawley-Bradford Simonsen-Claire K. Smith-Jackson Stein-David A. Thibodeau-Hannah G. Williams-Daveed Diggs,both,72 days,Foreign,1
Zookeeper,19524,63841,Sony Pictures Releasing,2011-07-06,2011,zookeeper,False,38317.0,Comedy-Romance-Family,en,Kindhearted Griffin Keyes is one of the best-loved caretakers at the Franklin Park Zoo but since he is more comfortable with the animals than with females of his own species his love life is lacking. When Griffin decides that the only way to get a girlfriend is to find a more-glamorous career the animals panic. To keep him from leaving they reveal their secret ability to talk and offer to teach him the rules of courtship animal-style.,25.449,Broken Road Productions-Zookeeper Productions-Hey Eddie-Happy Madison Productions,2011-07-06,80000000.0,169852759.0,102.0,Released,Welcome to his jungle.,5.418,1444.0,Kevin James-Rosario Dawson-Leslie Bibb-Ken Jeong-Donnie Wahlberg-Joe Rogan-Nat Faxon-Steffiana De La Cruz-Nick Bakay-Jackie Sandler-Nicholas Turturro-Thomas Gottschalk-Brandon Keener-Robin Bakay-Gary Valentine-Tanner Blaze-Tim Gage-Gino Falsetto-Etienne Deneault-Katrina Begin-Matthew R. Staley-Michael Burton-Todd Zeile-Mookie Barker-Tara Giordano-Dean-Daniel Guire-Mark DellaGrotte-Ellen Colton-Barry Bernardi-Juston McKinney-Nick Nolte-Adam Sandler-Sylvester Stallone-Cher-Judd Apatow-Jon Favreau-Faizon Love-Maya Rudolph-Bas Rutten-Don Rickles-Jim Breuer-Richie Minervini-Tom Woodruff Jr.-Garon Michael-Dan Marshall-Crystal the Monkey-Bart the Bear II,both,0 days,Foreign,0
Zombieland: Double Tap,1046319,1163993,Sony Pictures Releasing,2019-11-22,2019,zombieland:doubletap,False,338967.0,Comedy-Horror,en,Columbus Tallahassee Wichita and Little Rock move to the American heartland as they face off against evolved zombies fellow survivors and the growing pains of the snarky makeshift family.,43.04,Pariah-Columbia Pictures-2.0 Entertainment,2019-10-09,42000000.0,122801777.0,99.0,Released,,6.973,4932.0,Woody Harrelson-Jesse Eisenberg-Emma Stone-Abigail Breslin-Rosario Dawson-Zoey Deutch-Luke Wilson-Avan Jogia-Thomas Middleditch-Victoria Hall-Victor Rivera-Ian Gregg-Devin Mojica-Rachel Luttrell-John Dixon-Ronny Mathew-Jess Durham-David Fleischer-Jenin Gonzalez-Felix Betancourt-Lucas Fleischer-Gianni Biasetti Jr.-Ari Loeb-Anthony Dilio-Bill Murray-Julia Vasi-Al Roker-Lili Estefan-Joshua Alex Horowitz-Grace Randolph-Sergio Briones-Timothy Carr-Nathan W. Collins-Isabelle Fretheim-Brianna Gardner-Kyra Elise Gardner-Kandis Hargrave-Julian B Lin-Louie g Maldonado-Tim McAdams-Andrew R. McCallister-Zara McDowell-Jessica Medina-Oscar Rodriguez III-MWW Michael Wilkerson-Otis Winston-Lewis Wright,both,44 days,Foreign,0
Zombieland,56799,56799,-,2010-07-24,2010,zombieland,False,19908.0,Comedy-Horror,en,Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did he'd kick their ever-living ass. In a world overrun by zombies these two are perfectly evolved survivors. But now they're about to stare down the most terrifying prospect of all: each other.,57.752,Columbia Pictures-Relativity Media-Pariah,2009-10-07,23600000.0,102391540.0,88.0,Released,Nut up or shut up.,7.262,10907.0,Woody Harrelson-Jesse Eisenberg-Emma Stone-Abigail Breslin-Amber Heard-Bill Murray-Derek Graf-Elle Alexander-Melanie Booth-Chris Burns-Blaise Corrigan-Sydnie Dawson-Christina Klein-Amir Kovacs-Shaun Michael Lynch-Lynn McArthur-Jade Moser-Justin Price-Michelle Sebek-Victory Van Tuyl-Mike White,both,290 days,Foreign,0
Zoku Owarimonogatari,926600,926600,Aniplex,2018-11-10,2018,zokuowarimonogatari,False,553296.0,Animation,ja,The morning after his high school graduation ceremony Araragi goes to the bathroom to wash his face but is struck by the sensation that his reflection is watching him. Touching the mirror Araragi’s hand passes straight through and he is sucked into a mysterious world.,5.076,SHAFT,2018-11-10,0.0,0.0,148.0,Released,,7.2,22.0,Hiroshi Kamiya-Eri Kitamura-Yuka Iguchi-Emiri Kato-Yui Horie-Miyuki Sawashiro-Marina Inoue-Saori Hayami-Kana Hanazawa-Chiwa Saito-Maaya Sakamoto-Michiko Neya,both,0 days,Japan,1
Zodiac,3317335,3317335,Warner Bros.,2007-06-16,2007,zodiac,False,1949.0,Crime-Drama-Mystery-Thriller,en,A cartoonist teams up with an ace reporter and a law enforcement officer to track down an elusive serial killer.,39.264,Paramount-Phoenix Pictures-Warner Bros. Pictures,2007-03-02,65000000.0,84785914.0,157.0,Released,There's more than one way to lose your life to a killer.,7.5,9090.0,Jake Gyllenhaal-Mark Ruffalo-Robert Downey Jr.-Anthony Edwards-Chloë Sevigny-John Carroll Lynch-Brian Cox-Elias Koteas-Dermot Mulroney-Philip Baker Hall-Clea DuVall-Jimmi Simpson-June Diane Raphael-Ciara Hughes-John Getz-John Terry-Donal Logue-Adam Goldberg-Richmond Arquette-Bob Stephenson-John Lacy-Ed Setrakian-Candy Clark-Lee Norris-James Le Gros-Patrick Scott Lewis-Pell James-David Lee Smith-Jason Wiles-Charles Schneider-James Carraway-Tom Verica-Doan Ly-Karina Logue-Joel Bissonnette-Zach Grenier-John Mahon-Matt Winston-Jules Bruff-John Ennis-J. Patrick McCormack-Charles Fleischer-Paul Schulze-Adam Trese-Penny Wallace-John Hemphill-Michel Francoeur-Thomas Kopache-Barry Livingston-Christopher John Fields-Phoebe Holston-Stanley B. Herman-Ione Skye-David Winston Barge-Peter Quartaroli-Geoff Callan-Betty Murphy-Michael Hungerford-Brett Rickaby-Micah Sauers-Hayati Akbas-Brad Carr-JD Cullum-Rod Damer-Judith Drake-Mitchell Fink-Erica Ford-Ted Garcia-Gloria Grant-Tish Hicks-Janis Jones-Roy Lee Jones-Anna Katarina-Marty Lodge-Danielle McKee-Cazimir Milostan-Dave Nemeth-Derris Nile-James Joseph O'Neil-Jeff Daniel Phillips-Carmen Plumb-Michael Rose-Jack Samson-Zachary Sauers-Bill Seward-Callie Thompson-Cooper Thornton-Cassius M. Willis-Shane Woodson-Bud Davis-Ken Narlow,both,106 days,Foreign,0
Zero Focus,10627512,10627512,Toho Company,2009-11-14,2009,zerofocus,False,51587.0,Drama-Mystery-Thriller,ja,Spurred by the disappearance of a newly-wed husband three women in post-war Japan are drawn into a murder mystery.,1.74,,2009-11-14,0.0,0.0,131.0,Released,,6.0,7.0,Ryoko Hirosue-Miki Nakatani-Tae Kimura-Hidetoshi Nishijima-Takeshi Kaga-Tetta Sugimoto-Hiromi Sakimoto-Toru Nomaguchi-Fukumi Kuroda-Hirotaro Honda-Yoshie Ichige,both,0 days,Japan,0
Zero Dark Thirty,3685602,3931506,Gaga,2013-02-15,2013,zerodarkthirty,False,97630.0,Thriller-Drama-History,en,A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks and his death at the hands of the Navy S.E.A.L. Team 6 in May 2011.,20.265,Columbia Pictures-Annapurna Pictures-First Light,2012-12-19,40000000.0,132820716.0,157.0,Released,The greatest manhunt in history.,6.978,3997.0,Jessica Chastain-Jason Clarke-Kyle Chandler-Jennifer Ehle-Mark Strong-Joel Edgerton-Chris Pratt-Edgar Ramírez-Mark Duplass-Scott Adkins-Harold Perrineau-Jeremy Strong-Reda Kateb-Ricky Sekhon-J.J. Kandel-James Gandolfini-Stephen Dillane-John Schwab-Martin Delaney-John Barrowman-Jeff Mash-Taylor Kinney-Callan Mulvey-Phil Somerville-Nash Edgerton-Mike Colter-Jessica Collins-Frank Grillo-Fares Fares-Alexander Karim-Siaosi Fonua-Daniel Lapaine-Homayoun Ershadi-Michael G. Gabel-Fredric Lehne-Osama bin Laden,both,58 days,Foreign,0
Zen,1923195,2877113,Herald Film Company,2009-01-10,2009,zen,False,28632.0,Drama-History,ja,In the early 1200s Dogen brought Chinese Zen philosophy to Japan and established the Japanese Zen school of Buddhism. He taught that a person was capable of realizing Buddhahood within himself by way of Zazen. Zazen is extended hours of sitting and meditating to achieve a state of “Mu” (nothingness or empty existence).,6.335,Kadokawa,2009-01-10,0.0,2877113.0,127.0,Released,,6.8,24.0,Kantarô Nakamura-Yuki Uchida-Ryushin Tei-Kengo Kora-Tatsuya Fujiwara-Jun Murakami-Masanobu Katsumura-Ryushin Tei-Tianyong Zheng-Keiko Takahashi-Sho Aikawa-Takashi Sasano-Kenichirou Yasui-Masahiko Nishimura-Shun Sugata-Masato Hyugaji,both,0 days,Japan,0
Zebraman 2: Attack on Zebra City,1270219,1270219,Toei Company,2010-05-01,2010,zebraman2:attackonzebracity,False,49608.0,Action-Comedy,ja,Zebra City 2025 – music echoing across what used to be Tokyo from Zebra Queen marks the start of Zebra Time a 5 minute window twice a day when the city population is free to commit any crime and the Vengeful Zebra Mini-Skirt Police and masked Zebra Police can shoot civilians at will. Zebraman wakes in the street unable to remember the last 15 years or his superhero past. He must rely on a band Zebra Time survivors a man who played him in a TV show version of Zebraman and a mysterious silent girl to battle this Zebra obsession that is splitting the city in to absolutes of black and white.,2.445,TBS,2010-05-01,0.0,0.0,106.0,Released,Let's get ready to fight!,6.0,28.0,Show Aikawa-Riisa Naka-Tsuyoshi Abe-Masahiro Inoue-Mei Nagano-Hideo Nakano-Mame Yamada-Naoki Tanaka,both,0 days,Japan,0
Zebraman,3070596,3070596,-,2004-02-14,2004,zebraman,False,36223.0,Comedy-Action,ja,"Being a failure as a teacher and a familyman Shinichi tries to escape everyday live by dressing up as ""Zebraman"" the superhero. Although the TV series whas canceled after only 6 episodes this cannot stop him from acting out his escape fantasy in a self made zebra-suit. He get's more then he could ever wish for when his black-and-white dressed alter-ego seems to be the only thing to stand between absolute (green) evil and a happy ending.",4.436,Toei Company,2004-01-30,0.0,0.0,115.0,Released,,6.3,59.0,Show Aikawa-Kyoka Suzuki-Atsuro Watabe-Yui Ichikawa-Koen Kondo-Ren Osugi-Makiko Watanabe-Kumiko Aso-Ryo Iwamatsu-Teruyoshi Uchimura-Akira Emoto-Yoji Tanaka-Arata Furuta-Yuu Tokui-Daisuke Iijima-Miyako Kawahara-Yûta Sone-Tokitoshi Shiota,both,15 days,Japan,0
Zatoichi: The Last,3680822,3680822,Toho Company,2010-05-29,2010,zatoichi:thelast,False,55894.0,Action-Drama,ja,A blind master swordsman attempts to lead a quiet life with his wife but he is provoked back into battle.,3.853,Fuji Television Network-Sedic-J-dream,2010-05-29,0.0,0.0,131.0,Released,,5.2,10.0,Shingo Katori-Satomi Ishihara-Takashi Sorimachi-Chieko Baisho-Yoshio Harada-Arata Iura-Koichi Iwaki-Seishirou Katou-Youki Kudoh-Nakamura Kanzaburō XVIII-Tatsuya Nakadai-Toshio Shiba-Sousuke Takaoka-Susumu Terajima-Kosuke Toyohara-Takashi Ukaji-Zeebra,both,0 days,Japan,0
Zathura: A Space Adventure,3512580,3512580,-,2005-12-10,2005,zathura:aspaceadventure,False,6795.0,Science Fiction-Adventure-Family,en,After their father is called into work two young boys Walter and Danny are left in the care of their teenage sister Lisa and told they must stay inside. Walter and Danny who anticipate a boring day are shocked when they begin playing Zathura a space-themed board game which they realize has mystical powers when their house is shot into space. With the help of an astronaut the boys attempt to return home.,35.462,Teitler Film-Michael De Luca Productions-Columbia Pictures-Radar Pictures,2005-11-06,65000000.0,65079104.0,101.0,Released,Adventure Is Waiting,6.4,2837.0,Josh Hutcherson-Jonah Bobo-Dax Shepard-Kristen Stewart-Tim Robbins-Frank Oz-John Alexander-Derek Mears-Douglas Tait-Joe Bucaro III-Jeff Wolfe,both,34 days,Foreign,0
"Yôkai Watch: the Movie: The Flying Whale and the Grand Adventure of the Double Worlds, Meow!",11208138,26693293,Toho Company,2016-12-17,2016,"yôkaiwatch:themovie:theflyingwhaleandthegrandadventureofthedoubleworlds,meow!",False,,,ja,,,,,,,,,,,,,left_only,,Japan,1
Yurigokoro,1468983,1468983,Toei Company,2017-09-23,2017,yurigokoro,False,455960.0,Mystery-Crime,ja,Ryosuke has a bright future. He just opened a successful restaurant and hopes to tie the knot soon with his alluring girlfriend. But then his father declares he has pancreatic cancer and his betrothed vanishes without a trace. In his father’s belongings he discovers a secret diary which starts with an ominous sentence: “Without remorse I take a life …” Ryosuke is completely spellbound and reads on discovering that the document is actually the confession of a murderer.,5.187,Nikkatsu Corporation-Toei Company-Pony Canyon-Quaras-Futabasha-Kinoshita Group-Aeon Entertainment,2017-09-23,0.0,0.0,128.0,Released,,7.3,12.0,Yuriko Yoshitaka-Tori Matsuzaka-Kenichi Matsuyama-Aimi Satsukawa-Nana Seino-Kaya Kiyohara-Tae Kimura-Yuki Tayama,both,0 days,Japan,0
"Yunagi City, Sakura Country",1196877,1279172,Art Port,2007-07-21,2007,"yunagicity,sakuracountry",False,,,,,,,,,,,,,,,,left_only,,Unknown,1
Yu-Gi-Oh!: The Dark Side of Dimensions,5814265,5814265,Toei Company,2016-04-23,2016,yu-gi-oh!:thedarksideofdimensions,False,366170.0,"Animation, Action, Adventure",ja,Yugi and Kaiba have a special duel that transcends dimensions.,44.877,Toei Company-Madman Entertainment-Gallop-NAS-Konami,2016-04-23,0.0,1015339.0,130.0,Released,Back to the stage of battle,7.674,354.0,Kenjiro Tsuda-Shunsuke Kazama-Takahashi Hiroki-Maki Saito-Kondo Takayuki-Rica Matsumoto-Junko Takeuchi-Ryou Naitou-Kento Hayashi-Tadashi Miyazawa-Kazuhiro Yamaji-Kana Hanazawa-Satoshi Hino-Kendo Kobayashi-Nozomu Sasaki,both,0 days,Japan,1
Yu-Gi-Oh! Bonds Beyond Time,2017928,2017928,-,2010-01-23,2010,yu-gi-oh!bondsbeyondtime,False,,"Animation, Action, Adventure",ja,,,,,,,,,,,,,left_only,,Japan,1
Yowamushi Pedal: The Movie2020 Re-release,4597682,5624218,Shochiku,2020-08-14,2020,yowamushipedal:themovie,True,334372.0,Action-Animation,ja,After winning the fierce Inter High race Sakamichi and the other Sōhoku team members receive an invitation to compete in the Kumamoto Hi Province Mountain Range Race towards the end of summer. The top-tier teams from around the country compete in this race including Sōhoku's rivals Hakone Academy (which yearns to take down Sōhoku) Kyoto Fushimi and Hiroshima Kureminami - as well as Kumamoto Daiichi High School's team led by Shin Yoshimoto.,6.937,TMS Entertainment,2015-08-28,0.0,0.0,90.0,Released,,7.8,9.0,Daiki Yamashita-Jun Fukushima-Kentaro Ito-Showtaro Morikubo-Hiroki Yasumoto-Koji Yusa-Tomoaki Maeno-Tsubasa Yonaga-Tetsuya Kakihara-Hiroyuki Yoshino-Kohsuke Toriumi-Mamoru Miyano-Satoshi Hino,both,1813 days,Japan,1
Yowamushi Pedal: The Movie,2716450,3190812,-,2015-08-28,2015,yowamushipedal:themovie,False,334372.0,Action-Animation,ja,After winning the fierce Inter High race Sakamichi and the other Sōhoku team members receive an invitation to compete in the Kumamoto Hi Province Mountain Range Race towards the end of summer. The top-tier teams from around the country compete in this race including Sōhoku's rivals Hakone Academy (which yearns to take down Sōhoku) Kyoto Fushimi and Hiroshima Kureminami - as well as Kumamoto Daiichi High School's team led by Shin Yoshimoto.,6.937,TMS Entertainment,2015-08-28,0.0,0.0,90.0,Released,,7.8,9.0,Daiki Yamashita-Jun Fukushima-Kentaro Ito-Showtaro Morikubo-Hiroki Yasumoto-Koji Yusa-Tomoaki Maeno-Tsubasa Yonaga-Tetsuya Kakihara-Hiroyuki Yoshino-Kohsuke Toriumi-Mamoru Miyano-Satoshi Hino,both,0 days,Japan,1
Yowamushi Pedal Re: Ride,124689,914658,-,2014-09-19,2014,yowamushipedalre:ride,False,292740.0,Animation,ja,This movie will feature highlights of the Inter High competition from the first season of the anime.,3.98,TMS Entertainment,2014-09-19,0.0,0.0,88.0,Released,,7.4,7.0,,both,0 days,Japan,1
Youth in Asia on Belmont St.,1829101,1829101,Kadokawa,2016-11-19,2016,youthinasiaonbelmontst.,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
Your Turn to Kill,3431176,16511822,Toho Company,2021-12-10,2021,yourturntokill,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
Your Name.,4954,233794134,Toho Company,2020-08-26,2020,yourname.,False,372058.0,Romance-Animation-Drama,ja,High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night they suddenly switch places. Mitsuha wakes up in Taki’s body and he in hers. This bizarre occurrence continues to happen randomly and the two must adjust their lives around each other.,81.82,CoMix Wave Films-TOHO-KADOKAWA-East Japan Marketing & Communications-AMUSE-voque ting-Lawson Entertainment-4Kids Entertainment,2016-08-26,0.0,357986087.0,106.0,Released,"It was almost like seeing something out of a dream, nothing more or less than a breathtaking view.",8.519,9936.0,Ryunosuke Kamiki-Mone Kamishiraishi-Ryo Narita-Aoi Yuki-Nobunaga Shimazaki-Kaito Ishikawa-Kanon Tani-Masaki Terasoma-Sayaka Ohara-Kazuhiko Inoue-Chafurin-Yuka Kato-Kana Hanazawa-Shinya Hamazoe-Masami Nagasawa-Etsuko Ichihara-Yuka Terasaki-Takashi Onozuka-Kanami Satou-Shinjirō Gōda-Yasuhiro Kikuchi-Tamari Hinata-Nozomi Yamane-Yuuki Shin-Tatsuya Murakami-Nodoka Hasegawa-Baron Yamazaki-Suguru Inoue-Ryoko Usami-Miho Morisaki-Tsuyoshi Minamijima-Aika Oomae-Tomohiro Yamaguchi-Takayuki Nakatsukasa-Hiroki Matsukawa-Shouko Negoro-Yuki Ominami-Manami Hanawa-Miho Tabata-Eriko Tomioka-Eiji Yamamoto-Yôhei Namekawa,both,1461 days,Japan,1
Your Lie in April,11444510,11444510,Toho Company,2016-09-10,2016,yourlieinapril,False,401146.0,Drama-Music-Romance,ja,Arima Kousei won numerous piano competitions while under the strict watch of his mother. He was known as the human metronome during that time. Since the death of his mother Kousei has been unable to hear the sound of his piano. He then meets Miyazono Kaori through childhood friend Sawabe Tsubaki. Kaori plays the violin and has a free sprit. Since meeting her Kousei is able to face the piano again. Meanwhile Kaori holds a secret.,8.764,C & I entertainment,2016-09-10,0.0,0.0,122.0,Released,,6.9,43.0,Kento Yamazaki-Suzu Hirose-Anna Ishii-Taishi Nakagawa-Yuka Itaya-Rei Dan-Masahiro Koumoto-Hirotaro Honda-Kaori Yamaguchi-Maharu Nemoto,both,0 days,Japan,0
Your Eyes Tell,4666102,7978921,Gaga,2020-10-23,2020,youreyestell,False,730154.0,Romance-Drama,ja,A tragic accident lead to Kaori's blindness but she clings to life and the smaller pleasures it can still afford her. She meets Rui and begins to talk to him. Rui was once a promising kickboxer but something happened in his past. Kaori's smile brings out a change in Rui. However the two are connected in more than one way. Rui attempts to do what is right.,23.787,AMUSE-GAGA Corporation-Lawson Entertainment-Dragonfly Entertainment,2020-10-23,0.0,0.0,123.0,Released,An ex-convict meets a blind girl.,8.5,368.0,Yuriko Yoshitaka-Ryusei Yokohama-Ryosei Tayama-Kyosuke Yabe-Toru Nomaguchi-Eita Okuno-Akane Sakanoue-Yoshinori Okada-Kanna Moriya-Keita Machida-Jun Fubuki-Kaito Mifune,both,0 days,Japan,0
Your Eyes,4517524,4517524,Nikkatsu,2017-05-20,2017,youreyes,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
You're My Pet,3682096,3682096,Toho-Towa,2012-01-21,2012,you'remypet,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
You Shine in the Moonlight,7915521,8426227,Toho Company,2019-03-15,2019,youshineinthemoonlight,False,554798.0,Drama-Romance,ja,Takuya Okada (Takumi Kitamura) is a high school student. He visits his classmate Mamizu Watarase (Mei Nagano) in the hospital. Mamizu Watarase suffers from the mysterious ailment “Luminescence disease.” People who have the disease show a faint sparkle under the moonlight and the sparkle gets brighter as their death gets closer. Mamizu Watarase is not allowed out of the hospital and she will not live long enough to become an adult. Takuya Okada offers to help her carry out her wishes before she passes away. He also tells her how he feels about her but Mamizu Watarase’s death is approaching. --asianwiki,3.415,,2019-03-15,0.0,0.0,101.0,Released,,7.5,6.0,Mei Nagano-Takumi Kitamura-Shouma Kai-Honoka Matsumoto-Mio Imada-Yuka-Tomoko Ikuta-Kyoko Hasegawa-Mitsuhiro Oikawa,both,0 days,Japan,0
Yomigaeri,23259542,23259542,-,2003-01-18,2003,yomigaeri,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
Yo-kai Watch: Forever Friends,1388680,10336365,Toho Company,2018-12-14,2018,yo-kaiwatch:foreverfriends,False,,"Animation, Family, Adventure",ja,,,,,,,,,,,,,left_only,,Japan,1
Yo-kai Watch the Movie 6,326456,6154894,-,2019-12-13,2019,yo-kaiwatchthemovie6,False,657355.0,"Animation, Family, Adventure",ja,Set in Y-Academy an elite school that only allows students with top class abilities to enter. The protagonist Jinpei Jiba and his unique friends take on the mysteries of the school as transforming heroes.,2.858,,2019-12-13,0.0,0.0,100.0,Released,,7.3,3.0,Mutsumi Tamura-Ayana Taketatsu-Haruka Tomatsu-Marina Inoue-Tomokazu Seki-Satoshi Hino-Yuki Ono-Etsuko Kozakura-Toshiki Masuda-Yoshino Kimura-Ken Watabe,both,0 days,Japan,1
"Yo-kai Watch Movie: It's the Secret of Birth, Meow!",4869231,45429073,Toho Company,2015-12-19,2015,"yo-kaiwatchmovie:it'sthesecretofbirth,meow!",False,,"Animation, Family, Adventure",ja,,,,,,,,,,,,,left_only,,Japan,1
Yo-Kai Watch 4,3384257,17330669,Toho Company,2017-12-16,2017,yo-kaiwatch4,False,,"Animation, Family, Adventure",ja,,,,,,,,,,,,,left_only,,Japan,1
Yesterday,42497,7104898,Toho-Towa,2019-10-11,2019,yesterday,False,670456.0,Drama,zh,Zuo Tian experienced many people and things from his ignorance to his final life perception. Zuo Tian ​​he went through all stages of life and then slowly grew from each stage. At the end Zuo Tian finally understood the meaning of life and life should not be missed.,0.6,,2019-09-21,0.0,0.0,93.0,Released,,0.0,0.0,Yao Rui-Liu Zhanling-Zhou Jinfeng,both,20 days,Foreign,0
Yes! Precure 5: Kagami no Kuni no Miracle Daibôken! (Pretty Cure 5),6828619,7020933,Toei Company,2007-11-10,2007,yes!precure5:kagaminokuninomiracledaibôken!(prettycure5),False,,"Animation, Adventure, Family",ja,,,,,,,,,,,,,left_only,,Japan,1
