title,gross,total_gross,distributor,release_date_JP,release_year_JP,title_short,re_released,id,genres,original_language,overview,popularity,production_companies,release_date_World,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,_merge,date_difference,region,anime
Narratage,8961920,8961920,Toho Company,2017-10-07,2017,narratage,False,472307.0,Romance-Drama,ja,Izumi is a sophomore university student when she hears from her former high school teacher and mentor Takashi. They were both involved in the school drama club. She liked him. He liked her. Takashi asks Izumi to return to the school and assist with a performance. Will the feelings be rekindled?,3.413,Toho-Kadokawa-Nippan Group Holdings-Asmik Ace-J Storm-East Japan Marketing & Communications-KDDI-GYAO-The Fool-Bridgehead-Second Sight,2017-10-07,0.0,0.0,140.0,Released,,7.0,5.0,Jun Matsumoto-Kasumi Arimura-Kentaro Sakaguchi-Ayaka Onishi-Yutaro Furutachi-Miki Kamioka-Ryusuke Komakine-Daichi Kaneko-Mikako Ichikawa-Koji Seto,both,0 days,Japan,0
Napping Princess,966282,966282,Warner Bros.,2017-03-18,2017,nappingprincess,False,428288.0,Fantasy-Adventure-Animation-Drama-Science Fiction,ja,Japan 2020 a few days before the opening of the Tokyo Olympics. Although she should be studying for her final exams Kokone a schoolgirl who lives in a small town with her widowed father a mysterious and talented mechanic falls asleep often anywhere anytime entering over and over a dream-world where a squad of fantastic motorized contraptions fights against magic a world close to reality where she will find out the keys of her true past.,15.771,Production I.G-Kadokawa-Warner Bros. Japan-Horipro-Nippon Television Network Corporation-Fukuoka Broadcasting System-Hiroshima Telecasting-Miyagi Television Broadcasting-Shizuoka Daiichi Television-VAP-Yomiuri Telecasting Corporation-Hakuhodo DY Media Partners-KDDI-Chukyo TV Broadcasting Company-Nishinippon Broadcasting-Sapporo Television Broadcasting Company-Signal.MD-Lawson Entertainment-Hulu Japan-Sound Team・Don Juan-Bandai,2017-03-18,0.0,0.0,111.0,Released,There's a reason why I can see in dreams,6.6,99.0,Mitsuki Takahata-Yosuke Eguchi-Shinnosuke Mitsushima-Rie Kugimiya-Tomoya Maeno-Wataru Takagi-Hideki Takahashi-Arata Furuta-Risa Shimizu-Lex Wutas,both,0 days,Japan,1
Naoko,646215,646215,Nikkatsu,2008-02-16,2008,naoko,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
Nanny McPhee,2248990,2248990,United International Pictures (UIP),2006-04-15,2006,nannymcphee,False,11283.0,Fantasy-Comedy-Family,en,Widower Cedric Brown hires Nanny McPhee to care for his seven rambunctious children who have chased away all previous nannies. Taunted by Simon and his siblings Nanny McPhee uses mystical powers to instill discipline. And when the children's great-aunt and benefactor Lady Adelaide Stitch threatens to separate the kids the family pulls together under the guidance of Nanny McPhee.,58.195,Metro-Goldwyn-Mayer-StudioCanal-Three Strange Angels-Working Title Films-Nanny McPhee Productions,2005-10-21,25000000.0,123276807.0,97.0,Released,You'll learn to love her. Warts and all.,6.636,2670.0,Emma Thompson-Colin Firth-Kelly Macdonald-Thomas Brodie-Sangster-Eliza Bennett-Jennifer Rae Daykin-Raphaël Coleman-Samuel Honywood-Holly Gibbs-Hebe Barnes-Zinnia Barnes-Angela Lansbury-Celia Imrie-Imelda Staunton-Elizabeth Berrington-Derek Jacobi-Patrick Barlow-Adam Godley-Claire Downes-Phyllida Law-Freya Fumic,both,176 days,Foreign,0
Nanimono,8577483,8577483,Toho Company,2016-10-15,2016,nanimono,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
Nana 2,1549687,9044193,Toho Company,2006-12-09,2006,nana2,False,35752.0,Drama-Music,ja,Two girls with the same name but very different personalities share an apartment in this sequel to Nana. The rising fame of Nana Osaki's band the Black Stones is beginning to take a toll on the best friends' relationship. Meanwhile Nana Komatsu struggles to make sense of her love triangle with Black Stones' guitarist Nobu and rival group Trapnest's bassist Takumi.,5.271,IMJ Entertainment,2006-12-09,0.0,0.0,130.0,Released,,6.2,33.0,Mika Nakashima-Yui Ichikawa-Hiroki Narimiya-Kanata Hongo-Yuna Ito-Nobuo Kyô-Tomomi Maruyama-Momosuke Mizutani-Anna Nose-Rumi Shishido-Takehisa Takayama-Tetsuji Tamayama,both,0 days,Japan,0
Nana,16232332,33154571,Toho Company,2005-09-03,2005,nana,False,29657.0,Romance-Drama-Music,ja,Two girls named Nana meet on a train to Tokyo. Nana K. aims to reunite with her boyfriend and Nana O. hopes to make it big in the music business. Despite their differences the pair hit it off and become roommates.,11.052,Aniplex-IMJ Entertainment-TBS-TOHO-Sedic International-Shueisha-MBS,2005-09-03,0.0,0.0,113.0,Released,,6.6,71.0,Mika Nakashima-Aoi Miyazaki-Kenichi Matsuyama-Ryuhei Matsuda-Tetsuji Tamayama-Tomomi Maruyama-Saeko-Yuna Ito-Momosuke Mizutani-Anna Nose-Takehisa Takayama-Yuta Hiraoka-Hiroki Narimiya-Natsuki Okamoto-Go Ayano-Seiji Nozoe,both,0 days,Japan,0
Nakajima Miyuki Live: Utatabi gekijouban,1011181,1011181,-,2012-05-12,2012,nakajimamiyukilive:utatabigekijouban,False,,,ja,,,,,,,,,,,,,left_only,,Japan,1
Nagasaki: Memories of My Son,886693,14484841,Shochiku,2015-12-12,2015,nagasaki:memoriesofmyson,False,380341.0,Drama,ja,Nobuko (Sayuri Yoshinaga) works in Nagasaki Japan as a midwife. Her son died 3 years earlier from the atomic bomb. On August 9 1948 her son appears in front of her again. Since that time Koji (Kazunari Ninomiya) appears in front of her and they reminiscence about pleasant times. These happy but bizarre moments seem eternal.,1.872,The Yomiuri Shimbun-J Storm-Kinoshita Komuten-Hakuhodo DY Media Partners-Hakuhodo-GYAO-Kyushu Asahi Broadcasting Co.-Hokkaido Television Broadcasting Co. (HTB)-Komatsuza-Kodansha-Nagasaki Cultural Telecasting Co. (NCC)-Nagasaki Shimbun-Nagoya Broadcasting Network-Nippan Group Holdings-Shôchiku Broadcasting Co.-Sumitomo Corporation-TV Asahi-Shochiku-Asahi Broadcasting Corporation,2015-12-12,0.0,0.0,130.0,Released,,6.6,9.0,Sayuri Yoshinaga-Kazunari Ninomiya-Haru Kuroki-Tadanobu Asano-Isao Hashizume-Yuriko Hirooka-Miyu Honda-Kenichi Kato-Nenji Kobayashi-Christopher McCombs-Wade Reed-Kazunaga Tsuji,both,0 days,Japan,0
Nada sô sô,24177863,24177863,Toho Company,2006-09-30,2006,nadasôsô,False,,,,,,,,,,,,,,,,left_only,,Unknown,1
NCT Dream The Movie: In A DREAM,102658,881918,-,2022-12-06,2022,nctdreamthemovie:inadream,False,,,ja,,,,,,,,,,,,,left_only,,Japan,1
Mystic River,7411838,7411838,-,2004-01-10,2004,mysticriver,False,322.0,Thriller-Crime-Drama-Mystery,en,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,34.804,Warner Bros. Pictures-Village Roadshow Pictures-NPV Entertainment-Malpaso Productions,2003-01-01,25000000.0,156822020.0,138.0,Released,"We bury our sins, we wash them clean.",7.747,5681.0,Sean Penn-Tim Robbins-Kevin Bacon-Laurence Fishburne-Marcia Gay Harden-Laura Linney-Kevin Chapman-Tom Guiry-Emmy Rossum-Spencer Treat Clark-Andrew Mackin-Adam Nelson-Robert Wahlberg-Jenny O'Hara-John Doman-Cameron Bowen-Jason Kelly-Connor Paolo-T. Bruce Page-Miles Herter-Cayden Boyd-Tori Davis-Jonathan Togo-John Franchi-Ed O'Keefe-Shawn Fitzgibbon-Will Lyman-Celine du Tertre-Ari Graynor-Zabeth Russell-Joe Stapleton-Susan Willis-Tom Kemp-Celeste Oliva-Patrick Shea-Michael McGovern-José Ramón Rosario-Colleen Kelly-Eli Wallach-Kevin Conway-Frank Ridley-Kris Williams-Jillian Wheeler-Lance Norris-John Zaffis,both,374 days,Foreign,0
My Way,2767504,2767504,Toei Company,2012-01-14,2012,myway,False,94047.0,Drama-Action-History-War,ko,During the invasion of Normandy the photograph of a slim Korean man in German uniform was found. It transpired that the man had served as a soldier in the Japanese Russian and German armies. His incredible story inspired director Kang Je-Gyu to create this epic war drama.,15.704,CJ Entertainment-Directors-SK Planet,2011-12-21,25500000.0,16653488.0,137.0,Released,"They met as enemies, but fate brought them together.",8.0,309.0,Jang Dong-gun-Joe Odagiri-Fan Bingbing-Kim In-kwon-Lee Yeon-hee-Kim Hee-won-Oh Tae-kyung-Kwak Jung-wook-Kim Shi-hoo-Cheon Ho-jin-Tarō Yamamoto-Manabu Hamada-Shingo Tsurumi-Isao Natsuyagi-Shiro Sano-Kumi Nakamura-Kim In-woo-Do Ji-han-Yukichi Kobayashi-Go Ju-yeon-Kim Soo-ro-Jo Min-ah-Hakuryu-Nicole Jung,both,24 days,Foreign,0
